shop,shop_id,item_id,product_name,product_url,review_text,review_star,author_username,ctime,model_name,liked_count
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Giao hàngg nhanh, dùngg khá ổn shop có tư vấn. Mua được giá rẻe.",5,doyen9,1768667109,Đen,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Đúng với mô tả:Redmi Active 5
Chất lượng sản phẩm:Mình đánh giá sau

Redmi Active 5.
Do hết hàng nên mình đợi khá lâu nhưng shop vẫn tương tác, trả lời tin nhắn mình rất nhanh. 
Sẽ ủng hộ shop 👍
Chất lượng mình sử dụng rồi đánh giá sau.
#17122025",5,dthang92,1765961178,Bạc,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Đồng hồ thông minh đa chức năng, màn hình đẹp, pin bền, theo dõi sức khỏe chính xác rất ok nhé!",5,p*****f,1767692199,Đen,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Đúng với mô tả:ok
Chất lượng sản phẩm:ok

sp khá ổn trong tầm giá",5,b*****0,1764553050,Bạc,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,Giao hàng nhanh chóng. Hình ảnh và video mang tính chất nhận xu.,5,d*****7,1769928670,Đen,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,Sản phẩm giống như mô tả. Hình ảnh dùng để nhận xu. Giao hàng nhanh chóng,5,luutruong17,1735440517,Đen,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Tính năng nổi bật:đẹp
Đúng với mô tả:đúng
Chất lượng sản phẩm:tốt

Dẹp xinh giống hình ảnh màu đẹp chất lượng tốt hợp với giá tiền",5,n*****2,1769273846,Bạc,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,Sản phẩm tốt. Bao bì hộp đầy đủ. Giá rẻ hơn so với mua ở điện máy xanh thế giới di động. Lúc đầu sản phẩm có tiếng Anh nhưng sau bà khi bạn cập nhật phần mềm và đồng bộ với ứng dụng mi fish thì sản phẩm sẽ có tiếng Việt. Sản phẩm có nghe gọi rất tốt và chống nước năm ATMthời gian sử dụng pin rất lâu,5,daotacmu,1765211617,Đen,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,Đúng với mô tả:mặt quá to lun.nhấn qr vào cài đặt ko đc,1,linhlanquynh,1769150861,Bạc,
xiaomiofficialstore,340431675,28914299334,"Đồng hồ thông minh Redmi Watch 5 Active | Màn hình LCD 2"" l Nghe gọi Bluetooth | Kháng nước 5ATM | +140 chế độ thể thao",https://shopee.vn/product/340431675/28914299334,"Tính năng nổi bật:đo chir số sức khoẻ
Chất lượng sản phẩm:ổn
Đúng với mô tả:có

đo cũng khá chính xác nhìn xinh nhỏ nhỏ phù hợp với giá",5,qtrang151,1732129840,Đen,
