shop,shop_id,item_id,product_name,current_price,original_price,discount_percent,rating,rating_count,sold_count,monthly_sold,liked_count,brand,product_url,product_name_clean,sold_count_num,monthly_sold_num,shop_clean,product_type,product_name_norm,storage_options,canonical_product_name,canonical_product_id,absa_weighted_sum,absa_weight_sum,total_aspect_mentions,avg_positive_rate,avg_negative_rate,avg_neutral_rate,absa_score_raw,absa_score,BATTERY_positive_rate,CAMERA_positive_rate,DESIGN_positive_rate,FEATURES_positive_rate,GENERAL_positive_rate,PERFORMANCE_positive_rate,PRICE_positive_rate,SCREEN_positive_rate,SERANDACC_positive_rate,STORAGE_positive_rate,BATTERY_negative_rate,CAMERA_negative_rate,DESIGN_negative_rate,FEATURES_negative_rate,GENERAL_negative_rate,PERFORMANCE_negative_rate,PRICE_negative_rate,SCREEN_negative_rate,SERANDACC_negative_rate,STORAGE_negative_rate,BATTERY_neutral_rate,CAMERA_neutral_rate,DESIGN_neutral_rate,FEATURES_neutral_rate,GENERAL_neutral_rate,PERFORMANCE_neutral_rate,PRICE_neutral_rate,SCREEN_neutral_rate,SERANDACC_neutral_rate,STORAGE_neutral_rate,BATTERY_total_mentions,CAMERA_total_mentions,DESIGN_total_mentions,FEATURES_total_mentions,GENERAL_total_mentions,PERFORMANCE_total_mentions,PRICE_total_mentions,SCREEN_total_mentions,SERANDACC_total_mentions,STORAGE_total_mentions,price_score,rating_score,sold_score,review_confidence_score,absa_score_norm,buy_score_100,recommendation_label,rank
apple_flagship_store,88201679,25171387783,Sạc Apple 20W USB-C Power Adapter,429000.0,790000.0,46,4.944547530687982,0.0,60k+ sold,2k+ Sold/Month,6271,Apple,https://shopee.vn/product/88201679/25171387783,sạc apple 20w usb-c power adapter,60000,2000,apple_flagship_store,charger_cable_accessory,sạc apple 20w usb c power adapter,,apple 20w usb c power adapter,5,835.3,813.0,813.0,0.9038749771234876,0.0743288809586297,0.0217961419178826,1.0274292742927429,100.0,0.8758620689655172,1.0,0.8863636363636364,0.5,0.99163179916318,1.0,0.8962264150943396,1.0,0.9847908745247148,0.0,0.0344827586206896,0.0,0.1136363636363636,0.5,0.0,0.0,0.0094339622641509,0.0,0.0114068441064638,0.0,0.0896551724137931,0.0,0.0,0.0,0.00836820083682,0.0,0.0943396226415094,0.0,0.0038022813688212,0.0,145.0,1.0,44.0,2.0,239.0,11.0,106.0,2.0,263.0,0.0,1.0,0.9889095061375963,1.0,0.9604120213543338,1.0,99.38231033629528,Đáng mua,1
apple_flagship_store,88201679,26210898087,Apple AirPods 4th gen,3590000.0,3590000.0,0,4.916817033561891,0.0,20k+ sold,973 Sold/Month,7329,Apple,https://shopee.vn/product/88201679/26210898087,apple airpods 4th gen,20000,973,apple_flagship_store,earphone_speaker,apple airpods 4th gen,,airpods 4,2,923.6,932.0,932.0,0.8906032306049413,0.0508122157244964,0.0585845536705624,0.9909871244635192,99.54935622317596,1.0,0.75,0.9298245614035088,0.9277777777777778,0.9847715736040608,0.9801980198019802,0.8095238095238095,0.6666666666666666,0.9666666666666668,0.0,0.0,0.0,0.0350877192982456,0.0222222222222222,0.0,0.0,0.0476190476190476,0.3333333333333333,0.019047619047619,0.0,0.0,0.25,0.0350877192982456,0.05,0.015228426395939,0.0198019801980198,0.1428571428571428,0.0,0.0142857142857142,0.0,15.0,4.0,114.0,180.0,197.0,101.0,105.0,6.0,210.0,0.0,1.0,0.9833634067123782,0.9001483982037645,0.9799649957797583,0.9954935622317597,97.8339509320544,Đáng mua,2
apple_flagship_store,88201679,28032850215,Apple iPad A16 11 inch 2025 Wifi 128GB,9800000.0,10990000.0,11,4.9454667112746735,0.0,10k+ sold,1k+ Sold/Month,9796,Apple,https://shopee.vn/product/88201679/28032850215,apple ipad a16 11 inch 2025 wifi 128gb,10000,1000,apple_flagship_store,tablet,apple ipad a16 11 inch 2025 wifi 128gb,128gb,ipad a16 128gb,72,955.9,978.0,978.0,0.8738006163321085,0.0402499236437555,0.085949460024136,0.9774028629856852,98.87014314928426,0.7692307692307693,0.5,0.940677966101695,0.9591836734693876,0.9850746268656716,0.974025974025974,0.7196969696969697,0.9365079365079364,0.9536082474226804,1.0,0.1538461538461538,0.0,0.0423728813559322,0.010204081632653,0.0049751243781094,0.0064935064935064,0.106060606060606,0.0476190476190476,0.0309278350515463,0.0,0.0769230769230769,0.5,0.0169491525423728,0.0306122448979591,0.0099502487562189,0.0194805194805194,0.1742424242424242,0.0158730158730158,0.0154639175257731,0.0,13.0,2.0,118.0,98.0,201.0,154.0,132.0,63.0,194.0,3.0,1.0,0.9890933422549347,0.8371516844512277,0.9868616663975063,0.9887014314928426,96.86880172062745,Đáng mua,3
apple_flagship_store,88201679,27041370670,Điện thoại Apple iPhone 17 Pro Max 256GB,37990000.0,37990000.0,0,4.962829466095967,0.0,10k+ sold,1k+ Sold/Month,8369,Apple,https://shopee.vn/product/88201679/27041370670,điện thoại apple iphone 17 pro max 256gb,10000,1000,apple_flagship_store,phone,apple iphone 17 pro max 256gb,256gb,iphone 17 pro max 256gb,91,717.0,743.0,743.0,0.8968841001769066,0.0609481909887178,0.0421677088343755,0.9650067294751008,98.25033647375506,1.0,0.5454545454545454,0.9545454545454546,0.9574468085106383,0.9897959183673468,0.9692307692307692,0.8690476190476191,0.8571428571428571,0.9292929292929292,0.0,0.0,0.1818181818181818,0.0303030303030303,0.0425531914893617,0.010204081632653,0.0307692307692307,0.0595238095238095,0.1428571428571428,0.0505050505050505,0.0,0.0,0.2727272727272727,0.0151515151515151,0.0,0.0,0.0,0.0714285714285714,0.0,0.0202020202020202,0.0,3.0,11.0,132.0,47.0,196.0,65.0,84.0,7.0,198.0,0.0,1.0,0.9925658932191934,0.8371516844512277,0.9475262980896363,0.9825033647375505,96.35895705417514,Đáng mua,4
apple_flagship_store,88201679,27110898667,Điện thoại Apple iPhone 16 128GB,20790000.0,22999000.0,10,4.929872142580395,0.0,10k+ sold,592 Sold/Month,6762,Apple,https://shopee.vn/product/88201679/27110898667,điện thoại apple iphone 16 128gb,10000,592,apple_flagship_store,phone,apple iphone 16 128gb,128gb,iphone 16 128gb,84,824.2,873.0,873.0,0.8784939354207953,0.0980985965255289,0.0234074680536757,0.9441008018327608,97.20504009163804,0.5833333333333334,0.9230769230769232,0.9072164948453608,0.9545454545454546,0.955665024630542,0.967479674796748,0.8061224489795918,0.75,0.9375,1.0,0.3333333333333333,0.0769230769230769,0.0515463917525773,0.0272727272727272,0.0197044334975369,0.016260162601626,0.1530612244897959,0.25,0.0528846153846153,0.0,0.0833333333333333,0.0,0.0412371134020618,0.0181818181818181,0.0246305418719211,0.016260162601626,0.0408163265306122,0.0,0.0096153846153846,0.0,12.0,13.0,97.0,110.0,203.0,123.0,98.0,8.0,208.0,1.0,1.0,0.985974428516079,0.8371516844512277,0.9706037426566658,0.9720504009163804,96.14431329114808,Đáng mua,5
samsung_official_store,65589552,1622955655,"Máy hút bụi dạng hộp Samsung 360W VC18M2120SB/SV - Turbine Không Xoắn Tóc, màu Xanh",1546720.0,1990000.0,22,4.889132020423049,0.0,10k+ sold,130 Sold/Month,8256,SAMSUNG,https://shopee.vn/product/65589552/1622955655,"máy hút bụi dạng hộp samsung 360w vc18m2120sb/sv - turbine không xoắn tóc, màu xanh",10000,130,samsung_official_store,home_appliance,máy hút bụi dạng hộp samsung 360w vc18m2120sb turbine không xoắn tóc màu xanh,,máy hút bụi dạng hộp samsung,119,756.4,869.0,869.0,0.7904594259808857,0.0504335909701156,0.1591069830489986,0.8704257767548906,93.52128883774454,0.0,1.0,0.7454545454545455,0.8481012658227848,0.971563981042654,0.8230088495575221,0.8137254901960784,1.0,0.912280701754386,0.0,0.0,0.0,0.2,0.0696202531645569,0.0,0.1061946902654867,0.0196078431372549,0.0,0.0584795321637426,0.0,1.0,0.0,0.0545454545454545,0.0822784810126582,0.0284360189573459,0.0707964601769911,0.1666666666666666,0.0,0.0292397660818713,0.0,1.0,1.0,110.0,158.0,211.0,113.0,102.0,2.0,171.0,0.0,1.0,0.9778264040846099,0.8371516844512277,0.9699463876119382,0.9352128883774453,94.86965387590335,Đáng mua,6
apple_flagship_store,88201679,24246902031,Điện thoại Apple iPhone 17 Pro Max 512GB,44499000.0,44499000.0,0,4.960804020100502,0.0,4k+ sold,833 Sold/Month,2707,Apple,https://shopee.vn/product/88201679/24246902031,điện thoại apple iphone 17 pro max 512gb,4000,833,apple_flagship_store,phone,apple iphone 17 pro max 512gb,512gb,iphone 17 pro max 512gb,92,285.8,310.0,310.0,0.901153241883304,0.0614770483325673,0.0373697097841285,0.9219354838709678,96.09677419354838,1.0,0.5714285714285714,0.9491525423728814,0.9565217391304348,0.9577464788732394,1.0,0.8,0.8571428571428571,0.9195402298850576,1.0,0.0,0.1428571428571428,0.0169491525423728,0.0434782608695652,0.028169014084507,0.0,0.16,0.1428571428571428,0.0804597701149425,0.0,0.0,0.2857142857142857,0.0338983050847457,0.0,0.0140845070422535,0.0,0.04,0.0,0.0,0.0,1.0,7.0,59.0,23.0,71.0,29.0,25.0,7.0,87.0,1.0,1.0,0.9921608040201004,0.7538821828534723,0.8225303958682418,0.9609677419354838,93.20578503995102,Đáng mua,7
apple_flagship_store,88201679,22880091028,Điện thoại Apple iPhone 15 256GB,21489000.0,25999000.0,17,4.945985401459854,0.0,3k+ sold,63 Sold/Month,3963,Apple,https://shopee.vn/product/88201679/22880091028,điện thoại apple iphone 15 256gb,3000,63,apple_flagship_store,phone,apple iphone 15 256gb,256gb,iphone 15 256gb,83,436.2,481.0,481.0,0.8544278972568922,0.0831044417838116,0.0624676609592961,0.9068607068607067,95.34303534303534,0.6,0.5,0.9393939393939394,0.9574468085106383,0.963302752293578,0.9272727272727272,0.7450980392156863,1.0,0.9117647058823528,1.0,0.2,0.25,0.0303030303030303,0.0425531914893617,0.018348623853211,0.0545454545454545,0.1764705882352941,0.0,0.0588235294117647,0.0,0.2,0.25,0.0303030303030303,0.0,0.018348623853211,0.0181818181818181,0.0784313725490196,0.0,0.0294117647058823,0.0,5.0,8.0,66.0,47.0,109.0,55.0,51.0,3.0,136.0,1.0,1.0,0.9891970802919708,0.7277418703768002,0.8853188426013436,0.9534303534303534,93.15616869041546,Đáng mua,8
samsung_official_store,65589552,29928135317,"Điện thoại Samsung Galaxy A36 5G (8/128GB), Màn Hình FHD 6.7”, Mặt lưng kính, AI-Create Filter, Chip Snapdragon 6 Gen 3",7690000.0,8290000.0,7,4.884097035040432,0.0,2k+ sold,543 Sold/Month,1064,SAMSUNG,https://shopee.vn/product/65589552/29928135317,"điện thoại samsung galaxy a36 5g 8/128gb , màn hình fhd 6.7 , mặt lưng kính, ai-create filter, chip snapdragon 6 gen 3",2000,543,samsung_official_store,phone,samsung galaxy a36 5g 8 128gb màn hình fhd 6.7 inch mặt lưng kính ai create filter chip snapdragon 6 gen 3,128gb,samsung galaxy a36 5g 128gb,181,567.3,666.0,666.0,0.8073544674415322,0.1524830632790831,0.0401624692793847,0.8518018018018018,92.59009009009009,0.6190476190476191,0.7272727272727273,0.9,0.9285714285714286,0.9320987654320988,0.8888888888888888,0.875,0.8955223880597015,0.8071428571428572,0.5,0.3809523809523809,0.1818181818181818,0.0571428571428571,0.0357142857142857,0.0308641975308641,0.0864197530864197,0.0357142857142857,0.044776119402985,0.1714285714285714,0.5,0.0,0.0909090909090909,0.0428571428571428,0.0357142857142857,0.037037037037037,0.0246913580246913,0.0892857142857142,0.0597014925373134,0.0214285714285714,0.0,21.0,11.0,70.0,56.0,162.0,81.0,56.0,67.0,140.0,2.0,1.0,0.9768194070080863,0.6909036392444722,0.9318702874045462,0.9259009009009008,91.99567262990129,Đáng mua,9
apple_flagship_store,88201679,26768295651,Apple iPad mini 7 8.3-inch Wi-Fi 128GB,13690000.0,13990000.0,2,4.921739130434783,0.0,2k+ sold,289 Sold/Month,1505,Apple,https://shopee.vn/product/88201679/26768295651,apple ipad mini 7 8.3-inch wi-fi 128gb,2000,289,apple_flagship_store,tablet,apple ipad mini 7 8.3 inch wi fi 128gb,128gb,ipad mini 128gb,76,310.0,352.0,352.0,0.7841991697674178,0.121991210117902,0.0938096201146801,0.8806818181818182,94.03409090909092,0.8,0.0,0.9428571428571428,0.9411764705882352,0.9701492537313432,0.9090909090909092,0.8536585365853658,0.7741935483870968,0.8666666666666667,0.0,0.0,0.5,0.0142857142857142,0.0588235294117647,0.0149253731343283,0.0909090909090909,0.073170731707317,0.2258064516129032,0.12,0.0,0.2,0.5,0.0428571428571428,0.0,0.0149253731343283,0.0,0.073170731707317,0.0,0.0133333333333333,0.0,5.0,2.0,70.0,17.0,67.0,44.0,41.0,31.0,75.0,0.0,1.0,0.9843478260869565,0.6909036392444722,0.8406833429441088,0.9403409090909092,91.66757181257456,Đáng mua,10
